model_family,model_label,model,dataset,dataset_label,model_dataset_label,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,validation,2.0,3739,2270,0.607114,0.049214,0.246763,2.46031
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,validation,5.0,9346,5197,0.556067,0.112672,0.246763,2.253442
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,validation,10.0,18692,9589,0.513,0.207892,0.246763,2.078916
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,validation,15.0,28038,13357,0.476389,0.289583,0.246763,1.930551
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,validation,20.0,37384,16796,0.449283,0.364141,0.246763,1.820705
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,validation,25.0,46730,20078,0.42966,0.435295,0.246763,1.741182
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,validation,30.0,56076,23125,0.412387,0.501355,0.246763,1.671183
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,test,1.0,1958,1121,0.572523,0.027229,0.210315,2.722213
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,test,2.0,3915,2110,0.538953,0.051252,0.210315,2.562595
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,test,5.0,9788,4836,0.494074,0.117467,0.210315,2.349209
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,test,10.0,19575,8883,0.453793,0.215769,0.210315,2.15768
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,test,15.0,29363,12436,0.423526,0.302072,0.210315,2.013768
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,test,20.0,39150,15715,0.401405,0.381719,0.210315,1.908587
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,test,25.0,48938,18687,0.381851,0.453909,0.210315,1.81561
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,test,30.0,58725,21420,0.364751,0.520294,0.210315,1.734306
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,validation,1.0,1870,1216,0.650267,0.026363,0.246763,2.635187
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,validation,2.0,3739,2280,0.609789,0.049431,0.246763,2.471148
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,validation,5.0,9346,5205,0.556923,0.112846,0.246763,2.256911
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,validation,10.0,18692,9614,0.514338,0.208434,0.246763,2.084336
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,validation,15.0,28038,13353,0.476247,0.289496,0.246763,1.929973
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,validation,20.0,37384,16804,0.449497,0.364314,0.246763,1.821572
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,validation,25.0,46730,20055,0.429168,0.434797,0.246763,1.739187
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,validation,30.0,56076,23070,0.411406,0.500163,0.246763,1.667209
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,test,1.0,1958,1118,0.570991,0.027156,0.210315,2.714928
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,test,2.0,3915,2130,0.544061,0.051738,0.210315,2.586885
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,test,5.0,9788,4864,0.496935,0.118147,0.210315,2.36281
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,test,10.0,19575,8903,0.454815,0.216255,0.210315,2.162538
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,test,15.0,29363,12462,0.424412,0.302703,0.210315,2.017979
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,test,20.0,39150,15744,0.402146,0.382424,0.210315,1.912109
