model_family,model_label,model,dataset,dataset_label,model_dataset_label,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,test,20.0,39150,15704,0.401124,0.381452,0.210315,1.907251
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,test,25.0,48938,18720,0.382525,0.454711,0.210315,1.818816
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,test,30.0,58725,21478,0.365739,0.521703,0.210315,1.739002
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,validation,1.0,1870,1196,0.639572,0.02593,0.246763,2.591845
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,validation,2.0,3739,2253,0.602568,0.048846,0.246763,2.441885
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,validation,5.0,9346,5144,0.550396,0.111523,0.246763,2.230461
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,validation,10.0,18692,9475,0.506901,0.20542,0.246763,2.054201
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,validation,15.0,28038,13222,0.471574,0.286656,0.246763,1.911039
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,validation,20.0,37384,16714,0.44709,0.362363,0.246763,1.811816
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,validation,25.0,46730,19926,0.426407,0.432,0.246763,1.728
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,validation,30.0,56076,22894,0.408267,0.496347,0.246763,1.65449
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,test,1.0,1958,1097,0.560266,0.026646,0.210315,2.663932
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,test,2.0,3915,2115,0.54023,0.051374,0.210315,2.568667
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,test,5.0,9788,4789,0.489273,0.116325,0.210315,2.326377
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,test,10.0,19575,8720,0.445466,0.21181,0.210315,2.118088
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,test,15.0,29363,12280,0.418213,0.298283,0.210315,1.988507
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,test,20.0,39150,15478,0.395351,0.375962,0.210315,1.879803
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,test,25.0,48938,18461,0.377232,0.44842,0.210315,1.793652
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,test,30.0,58725,21175,0.360579,0.514343,0.210315,1.714469
