model_family,model,split,operating_point,rows,bad_rate,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1,tn,fp,fn,tp,dataset,dataset_label,model_label,model_dataset_label,predicted_reject_count,predicted_reject_share,false_rejection_share_among_rejects
lightgbm,lightgbm_03_missingness_challenger,validation,best_validation_f1,186920,0.246763,0.474301,0.702981,0.424804,0.21729,0.361194,0.694157,0.47515,84168,56627,14107,32018,missingness_challenger,missingness challenger,LightGBM,LightGBM | missingness challenger,88645.0,0.47424,0.638806
lightgbm,lightgbm_03_missingness_challenger,validation,target_validation_precision,186920,0.246763,0.546402,0.702981,0.424804,0.21729,0.399991,0.550266,0.463246,102722,38073,20744,25381,missingness_challenger,missingness challenger,LightGBM,LightGBM | missingness challenger,63454.0,0.339471,0.600009
lightgbm,lightgbm_03_missingness_challenger,test,best_validation_f1,195749,0.210315,0.474301,0.711344,0.379781,0.212109,0.322256,0.692293,0.439793,94639,59941,12668,28501,missingness_challenger,missingness challenger,LightGBM,LightGBM | missingness challenger,88442.0,0.451813,0.677744
lightgbm,lightgbm_03_missingness_challenger,test,target_validation_precision,195749,0.210315,0.546402,0.711344,0.379781,0.212109,0.358023,0.556754,0.435802,113480,41100,18248,22921,missingness_challenger,missingness challenger,LightGBM,LightGBM | missingness challenger,64021.0,0.327057,0.641977
xgboost,xgboost_05_missingness_challenger,train,best_validation_f1,962641,0.1883,0.464113,0.734619,0.395335,0.207885,0.299862,0.737484,0.426364,469251,312125,47585,133680,missingness_challenger,missingness challenger,XGBoost,XGBoost | missingness challenger,445805.0,0.463106,0.700138
xgboost,xgboost_05_missingness_challenger,train,target_validation_precision,962641,0.1883,0.548071,0.734619,0.395335,0.207885,0.348382,0.584763,0.436633,583118,198258,75268,105997,missingness_challenger,missingness challenger,XGBoost,XGBoost | missingness challenger,304255.0,0.316063,0.651618
xgboost,xgboost_05_missingness_challenger,validation,best_validation_f1,186920,0.246763,0.464113,0.702088,0.425707,0.217997,0.354607,0.714949,0.474077,80776,60019,13148,32977,missingness_challenger,missingness challenger,XGBoost,XGBoost | missingness challenger,92996.0,0.497518,0.645393
xgboost,xgboost_05_missingness_challenger,validation,target_validation_precision,186920,0.246763,0.548071,0.702088,0.425707,0.217997,0.400006,0.542569,0.460507,103257,37538,21099,25026,missingness_challenger,missingness challenger,XGBoost,XGBoost | missingness challenger,62564.0,0.33471,0.599994
xgboost,xgboost_05_missingness_challenger,test,best_validation_f1,195749,0.210315,0.464113,0.710474,0.380189,0.212454,0.316102,0.7143,0.43826,90957,63623,11762,29407,missingness_challenger,missingness challenger,XGBoost,XGBoost | missingness challenger,93030.0,0.475251,0.683898
xgboost,xgboost_05_missingness_challenger,test,target_validation_precision,195749,0.210315,0.548071,0.710474,0.380189,0.212454,0.357903,0.55056,0.433803,113916,40664,18503,22666,missingness_challenger,missingness challenger,XGBoost,XGBoost | missingness challenger,63330.0,0.323527,0.642097
catboost,catboost_04_missingness_challenger,train,best_validation_f1,962641,0.1883,0.475722,0.723935,0.380458,0.212222,0.296011,0.718462,0.419277,471651,309725,51033,130232,missingness_challenger,missingness challenger,CatBoost,CatBoost | missingness challenger,439957.0,0.457031,0.703989
catboost,catboost_04_missingness_challenger,train,target_validation_precision,962641,0.1883,0.555014,0.723935,0.380458,0.212222,0.342291,0.56664,0.426778,584016,197360,78553,102712,missingness_challenger,missingness challenger,CatBoost,CatBoost | missingness challenger,300072.0,0.311717,0.657709
catboost,catboost_04_missingness_challenger,validation,best_validation_f1,186920,0.246763,0.475722,0.698633,0.420745,0.219273,0.357381,0.696802,0.472449,83003,57792,13985,32140,missingness_challenger,missingness challenger,CatBoost,CatBoost | missingness challenger,89932.0,0.481126,0.642619
catboost,catboost_04_missingness_challenger,validation,target_validation_precision,186920,0.246763,0.555014,0.698633,0.420745,0.219273,0.400007,0.529995,0.455916,104127,36668,21679,24446,missingness_challenger,missingness challenger,CatBoost,CatBoost | missingness challenger,61114.0,0.326953,0.599993
catboost,catboost_04_missingness_challenger,test,best_validation_f1,195749,0.210315,0.475722,0.705278,0.373893,0.214881,0.315858,0.699968,0.435292,92163,62417,12352,28817,missingness_challenger,missingness challenger,CatBoost,CatBoost | missingness challenger,91234.0,0.466076,0.684142
catboost,catboost_04_missingness_challenger,test,target_validation_precision,195749,0.210315,0.555014,0.705278,0.373893,0.214881,0.353998,0.540237,0.427724,113993,40587,18928,22241,missingness_challenger,missingness challenger,CatBoost,CatBoost | missingness challenger,62828.0,0.320962,0.646002
