model_family,model,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate,model_label,dataset,dataset_label,model_dataset_label,selection_rank,business_policy,avoided_auto_reject_share_vs_f1_threshold
hist_gradient_boosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,validation,10.0,18692,9549,0.51086,0.207024,0.246763,2.070244,HistGradientBoosting,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,12,review/risk-action top 10% only,0.376889
xgboost,xgboost_05_missingness_challenger,validation,20.0,37384,16821,0.449952,0.364683,0.246763,1.823415,XGBoost,missingness_challenger,missingness challenger,XGBoost | missingness challenger,1,review/risk-action top 20% only,0.297518
xgboost,xgboost_05,validation,20.0,37384,16835,0.450326,0.364986,0.246763,1.824932,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade,3,review/risk-action top 20% only,0.28303
xgboost,xgboost_05_missingness_challenger_no_grade_subgrade,validation,20.0,37384,16804,0.449497,0.364314,0.246763,1.821572,XGBoost,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,4,review/risk-action top 20% only,0.29381
xgboost,xgboost_05_no_grade_subgrade,validation,20.0,37384,16778,0.448802,0.363751,0.246763,1.818753,XGBoost,baseline_no_grade_subgrade,baseline no grade/subgrade,XGBoost | baseline no grade/subgrade,5,review/risk-action top 20% only,0.297245
lightgbm,lightgbm_03_missingness_challenger,validation,20.0,37384,16870,0.451263,0.365745,0.246763,1.828726,LightGBM,missingness_challenger,missingness challenger,LightGBM | missingness challenger,6,review/risk-action top 20% only,0.27424
lightgbm,lightgbm_06,validation,20.0,37384,16851,0.450754,0.365333,0.246763,1.826667,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade,7,review/risk-action top 20% only,0.304093
lightgbm,lightgbm_06_missingness_challenger_no_grade_subgrade,validation,20.0,37384,16796,0.449283,0.364141,0.246763,1.820705,LightGBM,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,8,review/risk-action top 20% only,0.296897
lightgbm,lightgbm_06_no_grade_subgrade,validation,20.0,37384,16784,0.448962,0.363881,0.246763,1.819404,LightGBM,baseline_no_grade_subgrade,baseline no grade/subgrade,LightGBM | baseline no grade/subgrade,9,review/risk-action top 20% only,0.287262
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,validation,20.0,37384,16772,0.448641,0.363621,0.246763,1.818103,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,10,review/risk-action top 20% only,0.30007
hist_gradient_boosting,hist_gradient_boosting_04,validation,20.0,37384,16752,0.448106,0.363187,0.246763,1.815935,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade,11,review/risk-action top 20% only,0.278258
hist_gradient_boosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,validation,20.0,37384,16696,0.446608,0.361973,0.246763,1.809864,HistGradientBoosting,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,12,review/risk-action top 20% only,0.276889
xgboost,xgboost_05_missingness_challenger,validation,30.0,56076,23121,0.412315,0.501268,0.246763,1.670894,XGBoost,missingness_challenger,missingness challenger,XGBoost | missingness challenger,1,review/risk-action top 30% only,0.197518
xgboost,xgboost_05,validation,30.0,56076,23057,0.411174,0.499881,0.246763,1.666269,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade,3,review/risk-action top 30% only,0.18303
xgboost,xgboost_05_missingness_challenger_no_grade_subgrade,validation,30.0,56076,23070,0.411406,0.500163,0.246763,1.667209,XGBoost,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,4,review/risk-action top 30% only,0.19381
xgboost,xgboost_05_no_grade_subgrade,validation,30.0,56076,23089,0.411745,0.500575,0.246763,1.668582,XGBoost,baseline_no_grade_subgrade,baseline no grade/subgrade,XGBoost | baseline no grade/subgrade,5,review/risk-action top 30% only,0.197245
lightgbm,lightgbm_03_missingness_challenger,validation,30.0,56076,23164,0.413082,0.502201,0.246763,1.674002,LightGBM,missingness_challenger,missingness challenger,LightGBM | missingness challenger,6,review/risk-action top 30% only,0.17424
lightgbm,lightgbm_06,validation,30.0,56076,23163,0.413064,0.502179,0.246763,1.67393,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade,7,review/risk-action top 30% only,0.204093
lightgbm,lightgbm_06_missingness_challenger_no_grade_subgrade,validation,30.0,56076,23125,0.412387,0.501355,0.246763,1.671183,LightGBM,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,8,review/risk-action top 30% only,0.196897
lightgbm,lightgbm_06_no_grade_subgrade,validation,30.0,56076,23077,0.411531,0.500314,0.246763,1.667715,LightGBM,baseline_no_grade_subgrade,baseline no grade/subgrade,LightGBM | baseline no grade/subgrade,9,review/risk-action top 30% only,0.187262
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,validation,30.0,56076,23000,0.410158,0.498645,0.246763,1.66215,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,10,review/risk-action top 30% only,0.20007
hist_gradient_boosting,hist_gradient_boosting_04,validation,30.0,56076,23030,0.410693,0.499295,0.246763,1.664318,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade,11,review/risk-action top 30% only,0.178258
hist_gradient_boosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,validation,30.0,56076,22995,0.410068,0.498537,0.246763,1.661789,HistGradientBoosting,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,12,review/risk-action top 30% only,0.176889
