threshold,rows,reject_count,approved_count,predicted_reject_share,approved_share,tp_caught_defaults,fp_rejected_good,tn_approved_good,fn_approved_defaults,precision_bad_rate_among_rejected,recall_default_capture,approved_bad_rate,rejected_bad_rate,total_portfolio_value,value_per_applicant,calibration_method,default_loss_saved,good_borrower_opportunity_cost,max_reject_share_constraint,economic_break_even_probability,policy_type,model_family,model,dataset,model_dataset_label
0.329553,186920,139629,47291,0.746999,0.253001,41773,97856,42939,4352,0.299171,0.905648,0.092026,0.299171,270946000.0,1449.53,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.321142,186920,142246,44674,0.760999,0.239001,42114,100132,40663,4011,0.296065,0.913041,0.089784,0.296065,270942000.0,1449.51,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.277915,186920,154583,32337,0.827001,0.172999,43723,110860,29935,2402,0.282845,0.947924,0.07428,0.282845,270940000.0,1449.5,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.33009,186920,139442,47478,0.745998,0.254002,41748,97694,43101,4377,0.299393,0.905106,0.09219,0.299393,270939000.0,1449.49,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.325339,186920,140937,45983,0.753996,0.246004,41943,98994,41801,4182,0.297601,0.909333,0.090947,0.297601,270939000.0,1449.49,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.278693,186920,154396,32524,0.826,0.174,43698,110698,30097,2427,0.283025,0.947382,0.074622,0.283025,270933000.0,1449.46,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.276534,186920,154956,31964,0.828996,0.171004,43770,111186,29609,2355,0.282467,0.948943,0.073677,0.282467,270921000.0,1449.4,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.280101,186920,154022,32898,0.824,0.176,43648,110374,30421,2477,0.283388,0.946298,0.075293,0.283388,270919000.0,1449.38,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.322989,186920,141685,45235,0.757998,0.242002,42038,99647,41148,4087,0.2967,0.911393,0.09035,0.2967,270909500.0,1449.33,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.322394,186920,141872,45048,0.758999,0.241001,42062,99810,40985,4063,0.296479,0.911913,0.090193,0.296479,270905000.0,1449.31,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
